Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1857-08,-0.36897412,0.07127757,0.08906879,0.11407779
1857-09,-0.37968943,0.07113478,0.078577496,0.1059933
1857-10,-0.47263545,0.0774085,0.07111527,0.1051164
1857-11,-0.6851335,0.08050994,0.10775095,0.13450694
1857-12,-0.27351704,0.08659873,0.11034338,0.14026761
1858-01,-0.29548538,0.07699388,0.113774695,0.1373781
1858-02,-0.47690183,0.07773393,0.12314274,0.14562519
1858-03,-0.5476575,0.07203321,0.13410248,0.15222436
1858-04,-0.42799428,0.07903724,0.08632313,0.11704088
1858-05,-0.5320951,0.081217796,0.07446177,0.11018569
1858-06,-0.37952122,0.076865315,0.08879403,0.117442146
1858-07,-0.3355508,0.081995055,0.070535265,0.1081592
1858-08,-0.27754986,0.07424269,0.081321284,0.11011416
1858-09,-0.28318587,0.07703053,0.07492787,0.1074611
1858-10,-0.2887329,0.077177495,0.0706104,0.104604945
1858-11,-0.36552474,0.079516634,0.1141277,0.13909718
1858-12,-0.4549887,0.0778547,0.12048028,0.14344634
1859-01,-0.38148466,0.08282212,0.0935513,0.12494539
1859-02,-0.34352297,0.07432376,0.11013567,0.13286793
1859-03,-0.31371728,0.075438015,0.11947582,0.14129886
1859-04,-0.15715948,0.07785539,0.08534685,0.11552293
1859-05,-0.15164812,0.07740674,0.0708004,0.104902335
1859-06,-0.24957645,0.076753736,0.07942914,0.11045417
1859-07,-0.31209,0.067566946,0.06698298,0.09514206
1859-08,-0.24464844,0.072091155,0.084999025,0.11145389
1859-09,-0.393858,0.07326993,0.07500834,0.104855776
1859-10,-0.25472045,0.07574944,0.078239486,0.108900845
1859-11,-0.2875482,0.0797859,0.10417486,0.1312181
1859-12,-0.28437135,0.07622175,0.122967325,0.14467452
1860-01,-0.39058298,0.07409085,0.11484718,0.13667235
1860-02,-0.4682912,0.075413845,0.14247425,0.16120224
1860-03,-0.7864609,0.08338941,0.1502263,0.1718189
1860-04,-0.30610728,0.07601775,0.09067468,0.118324116
1860-05,-0.36362675,0.07584321,0.079861365,0.11013641
1860-06,-0.21145956,0.080572866,0.09318045,0.12318516
1860-07,-0.1847646,0.0820913,0.07920689,0.11407328
1860-08,-0.1142386,0.081684284,0.107479006,0.13499652
1860-09,-0.13131975,0.077729404,0.090022966,0.11893693
1860-10,-0.3459595,0.08109441,0.07140191,0.10804876
1860-11,-0.60494,0.079728164,0.09307186,0.12255183
1860-12,-0.774231,0.07214911,0.11305341,0.13411401
1861-01,-0.91803956,0.075988576,0.120501526,0.1424601
1861-02,-0.6245886,0.085130766,0.16642794,0.18693717
1861-03,-0.41567025,0.08938018,0.18444508,0.2049605
1861-04,-0.38623625,0.08724428,0.14252996,0.1671118
1861-05,-0.6607519,0.08907007,0.13455652,0.16136584
1861-06,-0.25202128,0.086390115,0.1150647,0.14388585
1861-07,-0.29750192,0.08114823,0.10049074,0.12916432
1861-08,-0.041093126,0.07805739,0.10235947,0.12872614
1861-09,-0.27033228,0.07984856,0.0913175,0.12130407
1861-10,-0.47664645,0.07573377,0.06551082,0.100136265
