Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1947,-0.091205545,0.06267434,0.034881003,0.07172697
1948,-0.12466127,0.058124367,0.0364506,0.068608224
1949,-0.14380224,0.046567775,0.03157459,0.056262884
1950,-0.22662179,0.045587942,0.029129097,0.054099582
1951,-0.06115397,0.035057213,0.02901719,0.0455083
1952,0.015354565,0.039165325,0.031319674,0.05014823
1953,0.07763074,0.03899811,0.031421904,0.050081816
1954,-0.11675021,0.037461013,0.02807281,0.0468125
1955,-0.19730993,0.034207046,0.028382936,0.044448994
1956,-0.2631656,0.035287708,0.01602301,0.03875512
1957,-0.035334926,0.03176839,0.009924416,0.033282496
1958,-0.017632553,0.03144739,0.011219283,0.03338878
1959,-0.048004825,0.029478816,0.011968424,0.03181578
1960,-0.115487024,0.027786788,0.0111440355,0.029938187
1961,-0.019997388,0.024258042,0.009102922,0.025909763
1962,-0.06405444,0.024614654,0.011511553,0.027173463
1963,-0.03680589,0.025146058,0.010959902,0.027430708
1964,-0.30586675,0.020971,0.007458476,0.022257846
1965,-0.2043879,0.023785943,0.00799839,0.025094727
1966,-0.14888458,0.023650842,0.008868736,0.025258994
1967,-0.11751631,0.020131106,0.008858892,0.021994121
1968,-0.1686323,0.021203013,0.0082891965,0.022765733
1969,-0.031366713,0.019592704,0.006562743,0.020662615
1970,-0.08510657,0.019274037,0.008095875,0.020905305
1971,-0.20593274,0.017617699,0.008772082,0.01968077
1972,-0.0938271,0.01761354,0.007966936,0.01933155
1973,0.04993336,0.01709429,0.007342535,0.018604504
1974,-0.17253734,0.016893795,0.009181875,0.019227771
1975,-0.11075424,0.018739408,0.0087680565,0.020689229
1976,-0.21586166,0.016960843,0.011370299,0.020419449
1977,0.10308852,0.019494513,0.010098828,0.021955008
1978,0.0052557723,0.018099556,0.0092423605,0.020322775
1979,0.09085813,0.01361633,0.005101345,0.01454057
1980,0.19607207,0.016527152,0.003866923,0.016973505
1981,0.25001204,0.014528751,0.0057435837,0.015622848
1982,0.034263328,0.018962525,0.0066225673,0.02008571
1983,0.22383861,0.017477091,0.005245297,0.018247243
1984,0.04800471,0.017938431,0.0048933052,0.018593865
1985,0.04972978,0.016951093,0.0038407797,0.01738077
1986,0.09568697,0.015602264,0.0033538386,0.015958661
1987,0.2430264,0.015387633,0.0032886965,0.015735146
1988,0.28215173,0.017358968,0.0044349683,0.017916549
1989,0.17925027,0.016905334,0.005346235,0.017730553
1990,0.36056247,0.01775813,0.004711634,0.01837255
1991,0.33889654,0.017485444,0.0032553696,0.0177859
1992,0.124896795,0.016180316,0.006274902,0.017354453
1993,0.16565846,0.018011415,0.0064312685,0.019125175
1994,0.23354977,0.017093865,0.0054014353,0.017926956
1995,0.37686616,0.016089503,0.005313158,0.016944079
1996,0.2766894,0.016187876,0.0054997285,0.017096618
1997,0.4223085,0.01577063,0.004634826,0.016437592
1998,0.57731646,0.016697085,0.0051925997,0.017485874
1999,0.32448497,0.01526748,0.0052596703,0.016148068
2000,0.3310848,0.01599129,0.0050300257,0.016763724
2001,0.48928034,0.014755807,0.005988006,0.015924511
2002,0.5434665,0.014883456,0.0048554474,0.015655434
2003,0.5441702,0.016238205,0.0043072887,0.016799763
2004,0.46737072,0.016032416,0.0051955897,0.016853265
2005,0.60686255,0.015283804,0.004371014,0.015896555
2006,0.5725527,0.015067242,0.00404934,0.015601888
2007,0.5917013,0.014999508,0.0038420518,0.015483753
2008,0.46564984,0.016076649,0.0049888454,0.01683292
2009,0.5967817,0.015565243,0.0040547564,0.016084708
2010,0.68037146,0.015396019,0.0042319866,0.015967064
2011,0.53769773,0.015804289,0.003427654,0.016171716
2012,0.5776071,0.016022956,0.004742627,0.016710106
2013,0.6235754,0.01726907,0.0047251987,0.017903863
2014,0.67287165,0.016904976,0.0038145431,0.017330002
2015,0.82511437,0.016799072,0.003957044,0.017258825
2016,0.93292713,0.01548558,0.0036054875,0.015899772
2017,0.84517425,0.015015291,0.00388582,0.01550995
2018,0.762654,0.0155286025,0.0043392596,0.016123481
2019,0.8910726,0.017041598,0.003946132,0.017492512
2020,0.9227938,0.01703929,0.0045786747,0.017643742
2021,0.7372167,0.018400209,0.029847559,0.035063434
